,Annual Return %,Volatility %,Sharpe Ratio,Total Return %,Sector
BHARTIARTL.NS,32.369386630647256,20.437213289414416,1.2657981430397103,143.22502869053605,Telecom
HDFCBANK.NS,0.2268696835167968,19.717459123054603,-0.3181510496526582,-4.945526226463393,Banking
ICICIBANK.NS,13.272129848630975,18.52289251859798,0.3656086565222679,40.40546052203624,Banking
INFY.NS,3.2967129577030256,24.49974515951434,-0.13074776988253675,0.8719558465490218,IT
ITC.NS,-3.3822677195387327,18.63566864943804,-0.5302877994579891,-13.969311018662278,FMCG
KOTAKBANK.NS,2.446533854529854,21.982524551858855,-0.18439493316191394,0.06475541525923223,Banking
LT.NS,21.9625275932994,25.42675896096447,0.6081202727031667,73.19481549360121,Infrastructure
RELIANCE.NS,10.656346896538551,20.720596256630788,0.2005901203353876,28.399907981508665,Energy
SBIN.NS,25.8363356558513,23.776178557808976,0.8132650757495482,96.36991007392974,Banking
TCS.NS,-3.8930609435492385,21.115270714353045,-0.4922059055811482,-16.444464161084802,IT
